"V1" "V1"
"ACorunia" -8.39114853 43.37012643
"Albacete" -1.85574745 38.99588053
"Alicante/Alacant" -0.4831832 38.34548705
"Almeria" -2.46413188 36.83892362
"Avila" -4.69771277 40.65586958
"Badajoz" -6.97099704 38.87874339
"Barcelona" 2.17634927 41.38424664
"Bilbao" -2.92390606 43.25721957
"Burgos" -3.70419805 42.34113004
"Caceres" -6.37121092 39.47316762
"Cadiz" -6.28414575 36.52171152
"CastellondelaPlana" -0.03688142 39.98640809
"Ceuta" -5.30675127 35.88810209
"CiudadReal" -3.93131981 38.98651781
"Cordoba" -4.78032455 37.87954225
"Cuenca" -2.13152306 40.07653762
"Girona" 2.82411899 41.98186075
"Granada" -3.60001883 37.17641932
"Guadalajara" -3.16210273 40.63435548
"Huelva" -6.95040588 37.26004113
"Huesca" -0.40842276 42.14062739
"Jaen" -3.7903594 37.7651913
"LasPalmasdeGranCanaria" -15.413368411 28.099378545
"Leon" -5.56707631 42.59912097
"Lleida" 0.62061934 41.61527355
"Logronio" -2.44565538 42.46644945
"Lugo" -7.55817392 43.0091282
"Madrid" -3.68760088 40.40841191
"Malaga" -4.41997511 36.72034267
"Melilla" -2.942281 35.294731
"Murcia" -1.1285408 37.98436361
"Ourense" -7.86368375 42.33654919
"Oviedo" -5.84372206 43.36232165
"Palencia" -4.53460106 42.0078373
"Palma" 2.65181698 39.57114699
"Pamplona/Irunia" -1.6451528 42.814102
"Pontevedra" -8.64799018 42.43381442
"Salamanca" -5.66538084 40.96736822
"SanSebastian/Donostia" -1.98191785 43.31717158
"SantaCruzdeTenerife" -16.247206286 28.462854082
"Santander" -3.80474784 43.46297885
"Segovia" -4.12524116 40.9498703
"Sevilla" -5.99251368 37.38620512
"Soria" -2.46624798 41.76327912
"Tarragona" 1.2584219 41.11910287
"Teruel" -1.10927177 40.34412951
"Toledo" -4.02431421 39.85715187
"Valencia" -0.37565717 39.47534441
"Valladolid" -4.72334924 41.65232777
"Vitoria-Gasteiz" -2.67275685 42.85058789
"Zamora" -5.75494831 41.49913956
"Zaragoza" -0.87928652 41.65645655
